vendor_id,vendor_name,vendor_address
V001,Solace Health Analytics Inc.,
V002,Northstar Analytics International Ltd,
V003,Ferrum & Oak Advisory GmbH,
V004,Brightwell Logistics (Midwest) LLC,
V005,Ashgrove Partners,
V006,Meridian Consulting Group (APAC) Pte Ltd,
V007,Kestrel Data Systems Corp,
V008,Sterling Partners LLC,"200 W Madison St, Chicago, IL"
V009,Vireo Biotech Co,
V010,Palmetto Insurance Group Inc.,
V011,Aurelia Textile Works,
V012,Bramblewood & Finch Studio,
V013,Grayfen Holdings LLC,
V014,Quill & Anchor Media,
V015,Meridian Health Partners Group AG,
